"Month","Value.Q","Value.E","diff","mean","pdiff","stat"
"Oct",5.7805001976,5.78050019741058,1.89416482498928e-10,5.78050019750529,3.27681819958547e-11,"P85"
"Sep",4.789999962,4.78999996185303,1.46969547643039e-10,4.78999996192652,3.06825780399231e-11,"P85"
"Apr",28.479999924,28.479999923706,2.93955082497632e-10,28.479999923853,1.03214565759684e-11,"P90"
"Aug",4.349999905,4.34999990463257,3.67429642267325e-10,4.34999990481628,8.446658627751e-11,"P90"
"Dec",44.269999696,44.2699996948242,1.17580611913581e-09,44.2699996954121,2.65598854128221e-11,"P90"
"Feb",43.90000153,43.9000015258789,4.12109812941708e-09,43.9000015279395,9.38746693845619e-11,"P90"
"Jan",40.410000228,40.4100002288818,-8.81840378497145e-10,40.4100002284409,2.18223304506813e-11,"P90"
"Jul",4.960000038,4.96000003814697,-1.46969547643039e-10,4.96000003807348,2.96309569586462e-11,"P90"
"Jun",6.28000021,6.28000020980835,1.91650251224473e-10,6.28000020990418,3.05175549074381e-11,"P90"
"Mar",36.069998929,36.0699989318848,-2.88476798004922e-09,36.0699989304424,7.99769355583354e-11,"P90"
"May",12.19999981,12.1999998092651,7.34900140741956e-10,12.1999998096325,6.02377173942014e-11,"P90"
"Nov",20.090000342,20.0900003433227,-1.32272859332261e-09,20.0900003426614,6.58401478726597e-11,"P90"
"Oct",5.2670000554,5.26700005531311,8.68904947992633e-11,5.26700005535655,1.64971509181769e-11,"P90"
"Sep",4.389999866,4.3899998664856,-4.85600004651587e-10,4.3899998662428,1.10615038598439e-10,"P90"
"Apr",23.489999962,23.489999961853,1.46961554037262e-10,23.4899999619265,6.2563454353113e-12,"P95"
"Aug",3.880000114,3.88000011444092,-4.40920189248573e-10,3.88000011422046,1.13639220687796e-10,"P95"
"Dec",36.5,36.5,0,36.5,0,"P95"
"Feb",36.94999981,36.9499998092651,7.34864613605168e-10,36.9499998096326,1.98880816614672e-11,"P95"
"Jan",31.4800004940001,31.4800004959107,-1.91062454746316e-09,31.4800004949554,6.06932820019914e-11,"P95"
"Jul",4.35349998515,4.35349998474121,4.08788558559081e-10,4.35349998494561,9.38988308194949e-11,"P95"
"Jun",5.579999924,5.57999992370605,2.93949753427114e-10,5.57999992385303,5.26791679997264e-11,"P95"
"Mar",29.235000228,29.2350002288819,-8.8185458935186e-10,29.2350002284409,3.01643435081611e-11,"P95"
"May",9.86699981695,9.86699981689454,5.54649659534334e-11,9.86699981692227,5.62125944892681e-12,"P95"
"Nov",10.795000171,10.7950001716614,-6.61415811009647e-10,10.7950001713307,6.12705697556384e-11,"P95"
"Oct",4.4234999892,4.42349998950959,-3.09585246327515e-10,4.42349998935479,6.99864919345622e-11,"P95"
"Sep",3.88950010545,3.88950010538101,6.89919232854663e-11,3.8895001054155,1.77379923937799e-11,"P95"
"Apr",13.39999962,13.3999996185303,1.46969902914407e-09,13.3999996192651,1.09679035141992e-10,"P99"
"Aug",3.02739997347,3.02739997386932,-3.99323685229547e-10,3.02739997366966,1.31903180518796e-10,"P99"
"Dec",26.7739993882,26.7739993858337,2.36629915661979e-09,26.7739993870169,8.83804889368619e-11,"P99"
"Feb",23.254999924,23.2549999237061,2.93947977070275e-10,23.254999923853,1.26402054626011e-11,"P99"
"Jan",21.8739997682,21.8739997673035,8.96502427849555e-10,21.8739997677517,4.09848421581884e-11,"P99"
"Jul",3.089999914,3.08999991416931,-1.69310343522966e-10,3.08999991408465,5.47929929548624e-11,"P99"
"Jun",3.950000048,3.95000004768372,3.16280335255215e-10,3.95000004784186,8.00709699808786e-11,"P99"
"Mar",20.3960000988,20.3960000991821,-3.82147646860176e-10,20.3960000989911,1.87364015005609e-11,"P99"
"May",7.41220008354,7.41220008373261,-1.9260859573933e-10,7.4122000836363,2.59853476115069e-11,"P99"
"Nov",4.72379997264001,4.72379997253419,1.05823794172011e-10,4.7237999725871,2.24022597879084e-11,"P99"
"Oct",3.18610006077,3.18610006093979,-1.69790403958814e-10,3.1861000608549,5.32909829307921e-11,"P99"
"Sep",2.86389989149,2.8638998913765,1.13502540699528e-10,2.86389989143325,3.96321606907585e-11,"P99"
