"year","Value.Q","Value.E","diff","mean","pdiff","stat"
1967,7.56066666666667,7.56066666666667,-8.88178419700125e-16,7.56066666666667,1.17473558729405e-16,"annual_min_30day_sw"
1968,9.26333333333333,9.26333333333333,-1.77635683940025e-15,9.26333333333333,1.91762163303374e-16,"annual_min_30day_sw"
1969,5.672,5.672,8.88178419700125e-16,5.672,1.56589989368851e-16,"annual_min_30day_sw"
1970,7.871,7.871,0,7.871,0,"annual_min_30day_sw"
1971,7.39633333333333,7.39633333333333,-8.88178419700125e-16,7.39633333333333,1.20083611658947e-16,"annual_min_30day_sw"
1972,8.025,8.025,0,8.025,0,"annual_min_30day_sw"
1973,5.80533333333333,5.80533333333333,-3.5527136788005e-15,5.80533333333333,6.11974106362052e-16,"annual_min_30day_sw"
1974,7.96966666666667,7.96966666666667,3.5527136788005e-15,7.96966666666667,4.45779456957694e-16,"annual_min_30day_sw"
1975,6.27266666666666,6.27266666666667,-8.88178419700125e-15,6.27266666666666,1.41595029179529e-15,"annual_min_30day_sw"
1976,6.944,6.944,-8.88178419700125e-16,6.944,1.27905878413036e-16,"annual_min_30day_sw"
1977,7.779,7.779,-8.88178419700125e-16,7.779,1.14176426237322e-16,"annual_min_30day_sw"
1978,6.602,6.602,8.88178419700125e-16,6.602,1.34531720645278e-16,"annual_min_30day_sw"
1979,7.52133333333334,7.52133333333333,7.99360577730113e-15,7.52133333333334,1.06279105353232e-15,"annual_min_30day_sw"
1980,6.81,6.81,0,6.81,0,"annual_min_30day_sw"
1981,10.5266666666667,10.5266666666667,3.01980662698043e-14,10.5266666666667,2.86872067160901e-15,"annual_min_30day_sw"
1982,5.31,5.31,0,5.31,0,"annual_min_30day_sw"
1983,7.992,7.992,-1.77635683940025e-15,7.992,2.22266871796828e-16,"annual_min_30day_sw"
1984,8.18566666666667,8.18566666666667,1.77635683940025e-15,8.18566666666667,2.17008206140846e-16,"annual_min_30day_sw"
1985,6.00333333333334,6.00333333333333,7.99360577730113e-15,6.00333333333334,1.3315278918325e-15,"annual_min_30day_sw"
1986,6.10066666666667,6.10066666666667,2.66453525910038e-15,6.10066666666667,4.36761325390729e-16,"annual_min_30day_sw"
1987,7.30266666666667,7.30266666666667,1.77635683940025e-15,7.30266666666667,2.43247695736751e-16,"annual_min_30day_sw"
1988,5.90100000000001,5.901,1.06581410364015e-14,5.901,1.80615845388942e-15,"annual_min_30day_sw"
1989,5.91466666666667,5.91466666666667,4.44089209850063e-15,5.91466666666667,7.50827113136941e-16,"annual_min_30day_sw"
1990,7.90600000000001,7.906,1.06581410364015e-14,7.90600000000001,1.34810789734398e-15,"annual_min_30day_sw"
1991,7.83700000000001,7.837,9.76996261670138e-15,7.83700000000001,1.24664573391621e-15,"annual_min_30day_sw"
1992,7.21766666666667,7.21766666666667,4.44089209850063e-15,7.21766666666667,6.15280852330018e-16,"annual_min_30day_sw"
1993,5.83200000000001,5.832,7.99360577730113e-15,5.83200000000001,1.37064570941377e-15,"annual_min_30day_sw"
