"year","Value.Q","Value.E","diff","mean","pdiff","stat"
2000,0.919933333333333,0.919933333333333,-3.33066907387547e-16,0.919933333333333,3.62055483064947e-16,"annual_min_30day_sw"
2001,0.479833333333333,0.479833333333333,-3.88578058618805e-16,0.479833333333333,8.09818809209041e-16,"annual_min_30day_sw"
2002,0.699233333333333,0.699233333333333,-3.33066907387547e-16,0.699233333333333,4.76331564171541e-16,"annual_min_30day_sw"
2003,0.428966666666667,0.428966666666667,3.33066907387547e-16,0.428966666666667,7.76440066953641e-16,"annual_min_30day_sw"
2004,0.643766666666667,0.643766666666667,4.44089209850063e-16,0.643766666666667,6.89829456609635e-16,"annual_min_30day_sw"
2005,0.490266666666667,0.490266666666667,2.77555756156289e-16,0.490266666666667,5.66132219519219e-16,"annual_min_30day_sw"
2006,0.392033333333333,0.392033333333333,-3.33066907387547e-16,0.392033333333333,8.49588234131997e-16,"annual_min_30day_sw"
2007,0.766833333333333,0.766833333333333,-3.33066907387547e-16,0.766833333333333,4.34340674706647e-16,"annual_min_30day_sw"
2008,0.948666666666667,0.948666666666666,5.55111512312578e-16,0.948666666666667,5.85149169689998e-16,"annual_min_30day_sw"
2009,0.505066666666667,0.505066666666667,3.33066907387547e-16,0.505066666666667,6.59451374183369e-16,"annual_min_30day_sw"
2010,1.00863333333333,1.00863333333333,-3.5527136788005e-15,1.00863333333333,3.5223044503789e-15,"annual_min_30day_sw"
2011,1.0852,1.0852,2.22044604925031e-16,1.0852,2.04611689020486e-16,"annual_min_30day_sw"
2012,0.515433333333333,0.515433333333333,-3.33066907387547e-16,0.515433333333333,6.46188140828197e-16,"annual_min_30day_sw"
2013,0.751866666666667,0.751866666666667,3.33066907387547e-16,0.751866666666667,4.42986665260969e-16,"annual_min_30day_sw"
2014,0.5812,0.5812,0,0.5812,0,"annual_min_30day_sw"
1968,258,258,0,258,0,"annual_mindoy_30day_sw"
1969,260,260,0,260,0,"annual_mindoy_30day_sw"
1970,39,40,-1,39.5,0.0253164556962025,"annual_mindoy_30day_sw"
